key,title,genres,imdb_score
1,Taxi Driver,crime,8.3
1,Taxi Driver,drama,8.3
2,Monty Python and the Holy Grail,comedy,8.2
2,Monty Python and the Holy Grail,fantasy,8.2
3,Life of Brian,comedy,8
4,The Exorcist,horror,8.1
6,Dirty Harry,thriller,7.7
6,Dirty Harry,crime,7.7
6,Dirty Harry,action,7.7
7,My Fair Lady,drama,7.8
7,My Fair Lady,music,7.8
7,My Fair Lady,romance,7.8
7,My Fair Lady,family,7.8
8,The Blue Lagoon,romance,5.8
8,The Blue Lagoon,drama,5.8
9,Bonnie and Clyde,drama,7.7
9,Bonnie and Clyde,crime,7.7
9,Bonnie and Clyde,action,7.7
10,The Professionals,western,7.3
10,The Professionals,action,7.3
10,The Professionals,european,7.3
12,Lupin the Third: The Castle of Cagliostro,comedy,7.6
12,Lupin the Third: The Castle of Cagliostro,animation,7.6
12,Lupin the Third: The Castle of Cagliostro,action,7.6
12,Lupin the Third: The Castle of Cagliostro,fantasy,7.6
12,Lupin the Third: The Castle of Cagliostro,family,7.6
13,Richard Pryor: Live in Concert,comedy,8.1
13,Richard Pryor: Live in Concert,documentation,8.1
14,The Long Riders,western,6.9
14,The Long Riders,crime,6.9
18,Hitler: A Career,documentation,7.5
18,Hitler: A Career,history,7.5
18,Hitler: A Career,european,7.5
19,FTA,comedy,6.2
19,FTA,documentation,6.2
19,FTA,music,6.2
46,Top Gun,drama,6.9
46,Top Gun,action,6.9
48,Stand by Me,drama,8.1
49,Once Upon a Time in America,drama,8.3
49,Once Upon a Time in America,crime,8.3
49,Once Upon a Time in America,european,8.3
50,When Harry Met Sally...,romance,7.7
50,When Harry Met Sally...,comedy,7.7
50,When Harry Met Sally...,drama,7.7
51,Teenage Mutant Ninja Turtles,scifi,6.7
51,Teenage Mutant Ninja Turtles,action,6.7
51,Teenage Mutant Ninja Turtles,comedy,6.7
51,Teenage Mutant Ninja Turtles,family,6.7
52,Full Metal Jacket,drama,8.3
52,Full Metal Jacket,war,8.3
53,Christine,horror,6.7
53,Christine,thriller,6.7
53,Christine,european,6.7
54,A Nightmare on Elm Street,horror,7.4
56,Awakenings,drama,7.8
56,Awakenings,european,7.8
58,Annie,drama,6.6
58,Annie,family,6.6
58,Annie,comedy,6.6
59,Pet Sematary,horror,6.5
59,Pet Sematary,fantasy,6.5
59,Pet Sematary,thriller,6.5
61,She's Gotta Have It,comedy,6.7
61,She's Gotta Have It,romance,6.7
62,Eddie Murphy Raw,comedy,7.6
62,Eddie Murphy Raw,documentation,7.6
63,Endless Love,drama,4.9
63,Endless Love,romance,4.9
70,Sam Kinison: Breaking the Rules,comedy,7.2
70,Sam Kinison: Breaking the Rules,documentation,7.2
72,Monty Python Live at the Hollywood Bowl,comedy,7.9
72,Monty Python Live at the Hollywood Bowl,documentation,7.9
