,title,genres,imdb_score
1,Taxi Driver,  crime    drama  ,8.3
2,Monty Python and the Holy Grail,  comedy    fantasy  ,8.2
3,Life of Brian,  comedy  ,8.0
4,The Exorcist,  horror  ,8.1
6,Dirty Harry,  thriller    crime    action  ,7.7
7,My Fair Lady,  drama    music    romance    family  ,7.8
8,The Blue Lagoon,  romance    drama  ,5.8
9,Bonnie and Clyde,  drama    crime    action  ,7.7
10,The Professionals,  western    action    european  ,7.3
12,Lupin the Third: The Castle of Cagliostro,  comedy    animation    action    fantasy    family  ,7.6
13,Richard Pryor: Live in Concert,  comedy    documentation  ,8.1
14,The Long Riders,  western    crime  ,6.9
18,Hitler: A Career,  documentation    history    european  ,7.5
19,FTA,  comedy    documentation    music  ,6.2
46,Top Gun,  drama    action  ,6.9
48,Stand by Me,  drama  ,8.1
49,Once Upon a Time in America,  drama    crime    european  ,8.3
50,When Harry Met Sally...,  romance    comedy    drama  ,7.7
51,Teenage Mutant Ninja Turtles,  scifi    action    comedy    family  ,6.7
52,Full Metal Jacket,  drama    war  ,8.3
53,Christine,  horror    thriller    european  ,6.7
54,A Nightmare on Elm Street,  horror  ,7.4
56,Awakenings,  drama    european  ,7.8
58,Annie,  drama    family    comedy  ,6.6
59,Pet Sematary,  horror    fantasy    thriller  ,6.5
61,She's Gotta Have It,  comedy    romance  ,6.7
62,Eddie Murphy Raw,  comedy    documentation  ,7.6
63,Endless Love,  drama    romance  ,4.9
70,Sam Kinison: Breaking the Rules,  comedy    documentation  ,7.2
72,Monty Python Live at the Hollywood Bowl,  comedy    documentation  ,7.9
104,The Quick and the Dead,  western    thriller    action    romance  ,6.5
108,Forrest Gump,  drama    romance    comedy  ,8.8
109,Happy Gilmore,  comedy    sport  ,7.0
111,Saving Private Ryan,  drama    war  ,8.6
115,Gattaca,  thriller    drama    scifi  ,7.8
117,Blade,  action    scifi    horror  ,7.1
118,You've Got Mail,  romance    drama    comedy  ,6.7
119,Starship Troopers,  scifi    thriller    action  ,7.3
122,Donnie Brasco,  thriller    drama    crime  ,7.7
124,U.S. Marshals,  thriller    crime    action  ,6.5
126,Wild Things,  drama    thriller    crime    european  ,6.6
127,Last Action Hero,  comedy    action    fantasy  ,6.4
128,Seven Years in Tibet,  drama    history    war  ,7.1
130,A River Runs Through It,  drama  ,7.2
131,"Girl, Interrupted",  drama    european  ,7.3
135,Any Given Sunday,  drama    sport  ,6.9
136,Menace II Society,  drama    crime    thriller  ,7.5
137,Desperado,  thriller    action    crime    western    european  ,7.1
138,The Mask of Zorro,  action    thriller    western    comedy    romance  ,6.8
139,The Patriot,  drama    action    history    war  ,7.2
140,Road Trip,  comedy  ,6.5
141,Free Willy,  drama    family  ,6.0
143,3 Ninjas Kick Back,  action    comedy    family    sport  ,4.5
144,In the Line of Fire,  drama    thriller    action    crime  ,7.2
145,The Replacements,  comedy    sport  ,6.6
146,Johnny Mnemonic,  scifi    thriller    action    drama  ,5.6
147,Little Women,  drama    family    romance  ,7.3
148,Anaconda,  thriller    horror    action  ,4.8
149,My Girl,  comedy    drama    family    romance    european  ,6.9
150,Cliffhanger,  thriller    action    animation  ,6.5
151,I Know What You Did Last Summer,  horror    thriller  ,5.7
152,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,  scifi    action    comedy    family  ,6.0
154,Hollow Man,  scifi    action    horror    thriller  ,5.8
155,Godzilla,  thriller    scifi    action  ,5.4
157,Spawn,  fantasy    horror    scifi    thriller    action    drama  ,5.2
158,Dennis the Menace,  comedy    family  ,5.6
159,The Net,  thriller    action    crime    drama  ,5.9
160,The Devil's Own,  thriller    drama    action    crime    european  ,6.2
161,Croupier,  thriller    european    crime    drama  ,7.0
162,Teenage Mutant Ninja Turtles III,  fantasy    scifi    action    comedy    family  ,4.7
163,The General's Daughter,  drama    crime    thriller  ,6.4
164,The Next Karate Kid,  drama    family    romance    sport    action  ,4.5
165,I Still Know What You Did Last Summer,  thriller    horror  ,4.7
166,Double Team,  scifi    action    comedy    thriller  ,4.7
167,Under Suspicion,  thriller    crime    drama    european  ,6.5
171,Geronimo: An American Legend,  western    drama    history  ,6.5
172,The Mirror Has Two Faces,  romance    comedy    drama  ,6.6
175,Knight Rider 2000,  action    scifi  ,4.5
176,The Last Days,  drama    documentation    war  ,7.9
178,Heavy,  romance    drama  ,6.8
183,Jerry Seinfeld: I'm Telling You for the Last Time,  comedy    documentation  ,7.9
185,Wild Tango,  drama    music    romance  ,6.7
186,Kuch Kuch Hota Hai,  drama    romance    comedy  ,7.6
189,Herod's Law,  drama    comedy    crime  ,7.8
190,Tim Allen: Rewires America,  comedy    documentation  ,5.9
192,Dil Se..,  drama    romance  ,7.5
196,Oh Darling! Yeh Hai India!,  comedy  ,4.0
199,West Beirut,  romance    war    comedy    drama    european  ,7.6
200,Muthu,  drama    comedy    romance    action  ,7.6
203,Chamatkar,  comedy    fantasy    drama    crime  ,6.5
206,Hum Saath Saath Hain,  fantasy    romance    family    drama  ,6.2
207,Kabhi Haan Kabhi Naa,  comedy    drama    music    romance  ,7.6
209,Phir Bhi Dil Hai Hindustani,  comedy    romance    drama  ,6.1
212,Chaahat,  drama    romance  ,5.5
214,Maya Memsaab,  romance    drama    thriller  ,5.4
216,Duplicate,  comedy    action    crime    thriller  ,5.5
219,English Babu Desi Mem,  romance    comedy    drama  ,4.5
225,Sinbad: Afros and Bellbottoms,  comedy    documentation  ,7.8
232,Avvai Shanmugi,  drama    comedy  ,7.9
233,Minsara Kanavu,  comedy    drama    romance  ,6.7
254,Forgetting Sarah Marshall,  comedy    drama    romance  ,7.1
255,War of the Worlds,  thriller    action    scifi  ,6.5
260,Inception,  scifi    music    thriller    action  ,8.8
262,How to Train Your Dragon,  fantasy    animation    action    comedy    family    drama  ,8.1
265,Michael Clayton,  thriller    crime    drama  ,7.2
268,Jackass: The Movie,  action    comedy    documentation  ,6.6
271,Zoolander,  comedy    european  ,6.5
273,Charlie and the Chocolate Factory,  fantasy    comedy    family  ,6.6
274,Cleaner,  thriller    crime  ,6.1
275,Harold & Kumar Go to White Castle,  comedy  ,7.0
276,The Social Network,  drama  ,7.8
277,Road to Perdition,  thriller    documentation    crime    drama  ,7.7
279,Blow,  drama    crime  ,7.5
280,Shooter,  thriller    action    drama  ,7.2
281,Big Fish,  drama    fantasy    romance  ,8.0
282,The Bourne Ultimatum,  thriller    action  ,8.0
283,Public Enemies,  crime    drama    history    action    european  ,7.0
285,Sherlock Holmes,  crime    action    thriller  ,7.6
286,Love Actually,  drama    comedy    romance  ,7.6
287,Closer,  drama    romance  ,7.2
289,Something's Gotta Give,  romance    drama    comedy  ,6.7
290,Grown Ups,  comedy    drama    european  ,5.9
291,The Blind Side,  drama    sport  ,7.6
292,Quantum of Solace,  thriller    action  ,6.6
293,The Ring,  horror    european  ,7.1
295,Into the Wild,  drama  ,8.1
296,True Grit,  western    drama  ,7.6
298,Rambo,  thriller    action    war    european  ,7.0
299,Stardust,  fantasy    romance    family  ,7.6
301,The Last Samurai,  drama    history    war    action  ,7.8
304,The Book of Eli,  thriller    action    drama    european  ,6.8
305,Identity,  thriller  ,7.3
308,Shrek Forever After,  fantasy    comedy    family    romance    animation  ,6.3
309,Hairspray,  comedy    drama    romance  ,6.7
310,Corpse Bride,  fantasy    romance    animation    drama    family  ,7.3
311,Let Me In,  horror    drama    fantasy    thriller    european  ,7.1
312,Monster,  crime    drama    thriller    european  ,7.3
313,Without a Paddle,  thriller    comedy  ,5.8
314,Once Upon a Time in Mexico,  drama    action    crime    thriller  ,6.3
315,Cloudy with a Chance of Meatballs,  animation    drama    romance    comedy    family    fantasy    scifi  ,6.9
317,Blade II,  thriller    fantasy    scifi    action    horror  ,6.7
318,Chloe,  thriller    drama    romance    european  ,6.3
319,Blood Diamond,  thriller    drama  ,8.0
320,The Lake House,  drama    fantasy    romance    documentation  ,6.8
321,Terminator 3: Rise of the Machines,  thriller    scifi    action    european  ,6.3
322,Beerfest,  comedy  ,6.2
323,Heist,  thriller    drama    action    crime    european  ,6.5
324,Catch and Release,  romance    comedy    drama  ,5.9
325,Just Like Heaven,  drama    romance    fantasy    comedy  ,6.7
327,Four Brothers,  crime    action    drama    thriller  ,6.8
328,John Q,  drama    thriller    crime  ,7.0
329,Not Another Teen Movie,  comedy  ,5.7
330,21,  drama    crime    history    thriller  ,6.8
332,Terminator Salvation,  thriller    scifi    fantasy    war    action  ,6.5
333,Deck the Halls,  comedy    family  ,5.0
334,The Girl Next Door,  thriller    drama    crime    horror  ,6.5
335,The Cat in the Hat,  fantasy    comedy    family  ,4.0
